Ref,Val,Package,PosX,PosY,Rot,Side
"C17","4.7uF","C_0402_1005Metric",153.225000,-66.200000,180.000000,bottom
"R1","1kΩ","R_0402_1005Metric",148.860000,-67.325000,0.000000,bottom
"R2","1kΩ","R_0402_1005Metric",158.590000,-76.750000,0.000000,bottom
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",148.425000,-64.075000,90.000000,bottom
"SW2","SW_Push","SW_Push_SPST_NO_Alps_SKRK",155.875000,-74.500000,90.000000,bottom
